City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
175,Olafsvik,64.8945,-23.7142,35.53,74,83,7.47,broken clouds,IS,2021-12-04 20:08:45
176,Marawi,7.9986,124.2928,66.65,98,88,4.32,overcast clouds,PH,2021-12-04 20:16:06
177,Khandyga,62.6667,135.6,-18.94,81,100,2.37,overcast clouds,RU,2021-12-04 20:16:06
178,Airai,-8.9266,125.4092,61.16,95,100,1.36,overcast clouds,TL,2021-12-04 20:07:35
179,Hillsborough,37.5741,-122.3794,61.47,78,75,4.61,broken clouds,US,2021-12-04 20:16:06
180,Saint-Pierre,-21.3393,55.4781,78.44,82,0,3.44,clear sky,RE,2021-12-04 20:06:22
181,Yumen,40.2833,97.2,28.72,31,3,6.98,clear sky,CN,2021-12-04 20:11:06
182,Longyearbyen,78.2186,15.6401,19.24,73,75,23.02,broken clouds,SJ,2021-12-04 20:16:07
183,Newport,51.5877,-2.9984,44.82,84,90,21.9,overcast clouds,GB,2021-12-04 20:14:44
184,Maarianhamina,60.0973,19.9348,21.06,79,90,6.91,overcast clouds,AX,2021-12-04 20:14:01
185,Vaini,-21.2,-175.2,82.56,78,40,10.36,light rain,TO,2021-12-04 20:17:07
186,Mittagong,-34.45,150.45,54.0,96,100,4.41,overcast clouds,AU,2021-12-04 20:17:07
187,Touros,-5.1989,-35.4608,85.1,74,80,14.03,broken clouds,BR,2021-12-04 20:15:13
188,Ahipara,-35.1667,173.1667,68.11,87,78,10.38,broken clouds,NZ,2021-12-04 20:17:08
189,Mumford,5.2618,-0.759,81.36,83,98,8.16,overcast clouds,GH,2021-12-04 20:17:08
190,Saint George,37.1041,-113.5841,70.27,30,1,3.0,clear sky,US,2021-12-04 20:14:07
191,Faya,18.3851,42.4509,52.32,32,0,1.23,clear sky,SA,2021-12-04 20:09:55
192,San Francisco,37.7749,-122.4194,61.57,76,75,1.01,broken clouds,US,2021-12-04 20:14:12
193,Peniche,39.3558,-9.3811,54.88,84,0,13.29,clear sky,PT,2021-12-04 20:17:09
194,Houma,29.5958,-90.7195,81.0,58,40,4.61,scattered clouds,US,2021-12-04 20:15:40
195,Forecariah,9.4306,-13.0881,79.88,81,53,4.21,broken clouds,GN,2021-12-04 20:17:09
196,Port Blair,11.6667,92.75,79.12,79,50,9.51,scattered clouds,IN,2021-12-04 20:17:09
197,Chulym,55.0997,80.9572,25.45,95,100,10.38,overcast clouds,RU,2021-12-04 20:17:10
198,Megion,61.0296,76.1136,10.42,97,100,1.7,overcast clouds,RU,2021-12-04 20:17:10
